doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
77243,data\shopee-ecommerce\77243.md,ĐIỀU KHOẢN DỊCH VỤ | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/77243,2026-09-20,not-stated,public-source
77245,data\shopee-ecommerce\77245.md,QUY CHẾ HOẠT ĐỘNG SÀN THƯƠNG MẠI ĐIỆN TỬ SHOPEE.VN | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
77246,data\shopee-ecommerce\77246.md,QUY ĐỊNH VỀ ĐĂNG BÁN SẢN PHẨM TRÊN SHOPEE | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/77246,2026-09-20,not-stated,public-source
77250,data\shopee-ecommerce\77250.md,CHÍNH SÁCH VẬN CHUYỂN SHOPEE | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/77250,2026-09-20,not-stated,public-source
77251,data\shopee-ecommerce\77251.md,CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/77251,2026-09-20,not-stated,public-source
77262,data\shopee-ecommerce\77262.md,Điều Khoản Dịch Vụ của Shopee Mall | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/77262,2026-09-20,not-stated,public-source
77265,data\shopee-ecommerce\77265.md,QUY TRÌNH GIẢI QUYẾT TRANH CHẤP/ XỬ LÝ KHIẾU NẠI | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/77265,2026-09-20,not-stated,public-source
chinh-sach-tra-hang-hoan-tien,data/shopee-ecommerce/chinh-sach-tra-hang-hoan-tien.md,Chính sách Trả hàng và Hoàn tiền,https://help.shopee.vn/portal/4/article/77251,2026-09-20,Đăng ngày 04/03/2026; hiệu lực 11/03/2026,public-source
chinh-sach-van-chuyen-shopee,data/shopee-ecommerce/chinh-sach-van-chuyen-shopee.md,Chính sách Vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77250,2026-09-20,Cập nhật và đăng ngày 15/09/2026; hiệu lực sau 05 ngày,public-source
dieu-khoan-dich-vu-shopee,data/shopee-ecommerce/dieu-khoan-dich-vu-shopee.md,Điều khoản Dịch vụ Shopee,https://help.shopee.vn/portal/4/article/77243,2026-09-20,Đăng ngày 24/04/2026; hiệu lực 01/05/2026,public-source
dieu-khoan-dich-vu-shopee-mall,data/shopee-ecommerce/dieu-khoan-dich-vu-shopee-mall.md,Điều khoản Dịch vụ của Shopee Mall,https://help.shopee.vn/portal/4/article/77262,2026-09-20,Đăng ngày 24/04/2026; hiệu lực 08/05/2026,public-source
quy-che-hoat-dong-san-shopee,data/shopee-ecommerce/quy-che-hoat-dong-san-shopee.md,Quy chế hoạt động Sàn thương mại điện tử Shopee.vn,https://help.shopee.vn/portal/4/article/77245,2026-09-20,Cập nhật 03/01/2025; hiệu lực sau 07 ngày kể từ ngày đăng tải,public-source
quy-dinh-dang-ban-san-pham,data/shopee-ecommerce/quy-dinh-dang-ban-san-pham.md,Quy định về đăng bán sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/77246,2026-09-20,Cập nhật và công bố 14/08/2024; hiệu lực sau 07 ngày,public-source
quy-trinh-giai-quyet-tranh-chap-khieu-nai,data/shopee-ecommerce/quy-trinh-giai-quyet-tranh-chap-khieu-nai.md,"Quy trình giải quyết tranh chấp, xử lý khiếu nại",https://help.shopee.vn/portal/4/article/77265,2026-09-20,Cập nhật 15/03/2024; hiệu lực sau 07 ngày kể từ ngày đăng tải,public-source
